rewardAC,¶ÜÊ×Ë®Æ½Æ«²î,¶ÜÖÐË®Æ½Æ«²î,¶ÜÎ²Ë®Æ½Æ«²î,¶ÜÊ×´¹Ö±Æ«²î,¶ÜÖÐ´¹Ö±Æ«²î,¶ÜÎ²´¹Ö±Æ«²î,time/s
122.9167125,1.21,-12.45,-40.95,-14.62,-17.1,-21.85,23.1691892
117.33045,9.59,24.97,-1.86,-11.67,-18.1,-22.02,12.2148341
58.651975,-9.05,-14.33,-37.58,-15.19,-17.44,-22.04,12.1944485
-82.2142875,-24.24,-8.61,-35.98,8.49,-16.19,-31.24,28.5285809
17.7362,6.48,24.64,-0.65,-12.25,-18.25,-21.91,6.8031145
156.7922625,5.62,-8.51,-53.73,4.27,17.47,25.53,23.2419966
202.1205375,1.5,25.99,4.42,4.32,-17.06,-30.11,23.1406974
228.357025,1.38,26.09,4.64,4.19,-17.03,-29.98,23.2188024
115.62155,10.46,19.55,17.27,17.84,18,18.1,12.3279244
116.58645,4.85,25.09,1.26,17.24,18.62,16.28,12.2384835
112.67455,10.61,19.55,17.18,17.63,18.01,18.24,12.2003293
118.42195,10.48,19.55,17.26,17.99,18,18.01,12.2895959
-50.846725,-23.28,-9.39,-37.57,4.16,-17.04,-29.97,23.0442173
33.442125,-11.21,-11.17,-47.48,-14.9,-18.05,-19.97,12.3579099
160.711475,5.91,-8.4,-53.66,3.76,17.43,25.76,23.173137
255.2754375,0.65,26.46,5.47,7.74,-16.32,-31,27.8265261
14.77495,6.73,24.69,-0.77,-12.47,-18.25,-21.79,6.7608285
19.3917875,-12.71,-11.2,-46.62,-15.56,-18.04,-19.56,12.1740068
119.4826,4.98,25.24,1.29,17.7,18,18.2,12.395877
78.5717375,-2.12,-8.49,-49.03,-12.55,-17.76,-20.94,23.1256109
628.503725,-11.27,-17.24,-20.89,12.17,17.33,20.48,40.9920192
121.2050875,7.14,-8.35,-54.33,1.95,17.35,26.75,23.0500861
115.4066,11.32,19.55,16.72,16.65,18.03,18.87,12.1672585
119.43005,5.13,25.16,1.04,17.54,18.01,18.3,12.6209713
648.10035,-11.21,-17.22,-20.85,12.09,17.3,20.5,41.1306809
176.4511625,5.54,-8.6,-53.82,4.89,17.52,25.22,23.269979
164.969475,6.08,-8.68,-54.26,3.49,17.49,26.03,23.0984908
116.28895,4.99,25.11,1.03,17.84,18,18.11,12.204029
196.2436125,2.5,26.54,4.48,7.35,-16.38,-30.86,28.8175038
14.7632,6.7,24.6,-0.86,-12.47,-18.25,-21.78,6.6817111
-25.664375,-24.06,-10.21,-38.16,-2.83,-17.76,-26.87,17.7615687
-46.9426375,-20.11,-9.36,-39.44,3.93,-17.12,-29.96,23.0517993
